Grupo, Digit.forw, Digit.back, Stroop.corr, Stroop.rt, Go.forw, Go.back, Nogo.forw, Nogo.back, Gonogo.rt, Digit.forw, Digit.back, Stroop.corr, Stroop.rt, Go.forw, Go.back, Nogo.forw, Nogo.back, Gonogo.rt
Pre,8.667,6.733,0.979,0.595,1.0,1.0,0.6,0.3,0.318,,,,,,,,,
Pre,7.667,7.9,0.979,0.566,1.0,1.0,1.0,0.8,0.326,,,,,,,,,
Pre,4.75,4.5,1.0,0.878,0.975,0.95,0.5,0.4,0.342,,,,,,,,,
Pre,5.7,6.0,0.938,0.602,0.975,0.9,0.7,0.7,0.346,,,,,,,,,
Pre,6.643,5.067,0.979,0.743,1.0,1.0,1.0,0.6,0.332,,,,,,,,,
Post,8.9,8.1,0.938,0.631,0.975,0.975,0.5,0.2,0.289,,,,,,,,,
Post,6.417,7.25,0.938,0.548,1.0,1.0,0.7,0.8,0.318,,,,,,,,,
Post,6.167,5.833,0.896,0.811,1.0,1.0,0.7,0.3,0.32,,,,,,,,,
Post,5.393,5.643,0.979,0.64,0.925,0.95,0.8,0.5,0.339,,,,,,,,,
Post,4.917,5.783,1.0,0.829,0.95,0.975,0.8,0.7,0.39,,,,,,,,,
