Grupo, Digit.forw, Digit.back, Stroop.corr, Stroop.rt, Go.forw, Go.back, Nogo.forw, Nogo.back, Gonogo.rt
Pre,7.583,7.833,1.0,0.639,1.0,1.0,0.8,0.7,0.345
Pre,8.7,6.567,1.0,0.944,1.0,1.0,1.0,0.9,0.378
Pre,5.786,7.5,1.0,1.011,1.0,1.0,1.0,0.6,0.333
Pre,6.167,5.667,1.0,1.062,1.0,0.975,0.9,0.6,0.33
Pre,6.267,4.75,1.0,0.733,1.0,1.0,0.8,0.8,0.349
Post,7.233,7.917,0.5,0.943,1.0,1.0,0.6,0.8,0.319
Post,6.95,6.45,1.0,0.973,0.975,0.975,0.9,0.8,0.361
Post,5.067,5.143,1.0,0.893,1.0,0.975,0.6,0.8,0.361
Post,5.393,4.5,0.979,1.13,1.0,0.975,0.6,0.7,0.367
Post,6.0,6.6,1.0,0.844,1.0,1.0,0.7,0.8,0.43
