stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,text_Feedback_Prac1.stopped,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.stopped,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,17.886399625102058,17.886399625102058,space,14.434735707938671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,32.35515070799738,32.8613259580452,space,15.925029499921948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,48.306481749983504,48.810626707971096,space,11.346971416147426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
X,space,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,59.73100937507115,59.73100937507115,60.34333704202436,space,1,0.839331999886781,61.67698116693646,,,,,,,,,,,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
X,space,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,62.37249633297324,62.37249633297324,62.97260208311491,space,1,0.57260354119353,64.37242120807059,65.076614666963,,,,,,,,,,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
V,none,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,65.076614666963,65.076614666963,65.69310675002635,None,1,,67.09328804211691,,,,,,,,,,,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
X,space,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,67.77209608303383,67.77209608303383,68.37227399996482,space,1,0.5646533749531955,69.77227883297019,70.47713487502187,,,,,,,,,,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
K,none,,,,,0,4,4,14,,,,,,,,,,,,,,,,,,,,,70.47713487502187,70.47713487502187,71.51290120813064,None,1,,72.47623945795931,,,,,,,,,,,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
X,space,,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,73.19306491711177,73.19306491711177,73.8094290420413,space,1,0.6261708741076291,75.19339670799673,,,,,,,,,,,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
X,space,,,,,0,6,6,13,,,,,,,,,,,,,,,,,,,,,75.87624195800163,75.87624195800163,76.47665129206143,space,1,0.5976071669720113,77.87627179198898,,,,,,,,,,,,,,,,,,,,,,,,,,,,SuryGlez,001,2022-10-27_11h03.32.631,Trial go no go,2022.2.4,None,
