stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_trial_Prac1.stopped,text_Feedback_Prac1.stopped,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.stopped,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,12.570233333000942,12.570233333000942,space,19.734056748999137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,,,,,,,,,,,,,,,,,,,,,32.34794987500027,32.84707420800078,space,8.629890415999398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
,,,,,,,,,,,,,,,,,,,,,,,,,,40.99675233299968,41.49597429200003,space,1.2626062909985194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
X,space,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,42.32591325000067,42.32591325000067,42.92951366700072,space,1,0.7386343739999575,44.298332958000174,,,,,,,,,,,,,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
V,none,,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,44.99599500000113,44.99599500000113,45.59611849999965,None,1,,46.995892958000695,,,,,,,,,,,,,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
X,space,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,47.696016957999746,47.696016957999746,48.29657600000064,space,1,0.6132343740009674,49.696337625000524,,,,,,,,,,,,,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
X,space,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,50.396196042000156,50.396196042000156,50.99661887500042,space,1,0.6812727079995966,52.396570417000476,,,,,,,,,,,,,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
X,space,,,,,0,4,4,11,,,,,,,,,,,,,,,,,,,,,53.097302500000296,53.097302500000296,53.69664895800088,space,1,0.43852570800117974,55.09653262500069,,,,,,,,,,,,,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
X,space,,,,,0,5,5,12,,,,,,,,,,,,,,,,,,,,,55.79627858300046,55.79627858300046,56.39634337499956,space,1,0.4617545830005838,57.79639195799973,,,,,,,,,,,,,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
X,space,,,,,0,6,6,10,,,,,,,,,,,,,,,,,,,,,58.49645062499985,58.49645062499985,59.096705375000965,space,1,0.528455749998102,60.49691904199972,,,,,,,,,,,,,,,,,,,,,,,,,,,,VianyMuñoz2,001,2022-11-03_22h38.00.906,Trial go no go,2022.2.4,59.801861482482806,
