stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,resp_Welcome.started,resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.started,image_Instr_Intro.started,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.started,image_Instr_Prac1.started,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,text_trial_Prac1.started,resp_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,text_Feedback_Prac1.started,resp_Instr_Test1.started,image_Instr_Test1.started,resp_Instr_Test1.keys,resp_Instr_Test1.rt,text_trial_Test1.started,resp_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.stopped,resp_Instr_Test2.started,image_Instr_Test2.started,resp_Instr_Test2.keys,resp_Instr_Test2.rt,text_trial_Test2.started,key_resp.started,text_trial_Test2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.stopped,resp_theEnd.started,image_theEnd.started,resp_theEnd.keys,resp_theEnd.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,12.360453166998923,12.360453166998923,space,0.8587895000018761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,,,,,,,,,,,,,,,,,,,,,13.246184083000117,13.743059082997206,space,2.2553147500075283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,,,,,,,,,,,,,,,,,,,,,,,,,15.526035707996925,16.008925124995585,space,1.5210842910091742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
X,space,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,17.116616957995575,17.116616957995575,17.72630595800001,space,1,0.6377506659991923,19.094535042000643,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
X,space,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,19.792914707999444,19.792914707999444,20.393356125001446,space,1,0.5046585000091,21.792641916996217,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
X,space,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,22.492801583000983,22.492801583000983,23.093238624998776,space,1,0.6345541250047972,24.492790749995038,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
X,space,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,25.19291274999705,25.19291274999705,25.79298566700163,space,1,0.5816682500008028,27.19275541699608,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
X,space,,,,,0,4,4,11,,,,,,,,,,,,,,,,,,,,,27.89326616699691,27.89326616699691,28.492936541995732,space,1,0.3565056660081609,29.893211167000118,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
X,space,,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,30.593232916995476,30.593232916995476,31.193381791999855,space,1,0.41121283300890354,32.59289916700072,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
X,space,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,33.29298274999746,33.29298274999746,33.892985541999224,space,1,0.41686070800642483,35.29296683299617,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
X,space,,,,,0,7,7,12,,,,,,,,,,,,,,,,,,,,,35.993467874999624,35.993467874999624,36.593149708001874,space,1,0.4251485000058892,37.993648292002035,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
W,none,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,38.69399775000056,38.69399775000056,39.29333566699643,None,1,,40.693209166995075,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
X,space,,,,,0,9,9,13,,,,,,,,,,,,,,,,,,,,,41.39328883300186,41.39328883300186,41.99319541699515,space,1,1.0929634990025079,43.39330454199808,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
K,none,,,,,0,10,10,14,,,,,,,,,,,,,,,,,,,,,44.0936387499969,44.0936387499969,44.69375108299573,None,1,,46.09379612500197,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
X,space,,,,,0,11,11,0,,,,,,,,,,,,,,,,,,,,,46.79334758299956,46.79334758299956,47.393500124999264,space,1,0.394834583006741,48.79435295800067,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
V,none,,,,,0,12,12,9,,,,,,,,,,,,,,,,,,,,,49.493906083000184,49.493906083000184,50.09414341700176,None,1,,51.49356845799775,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
X,space,,,,,0,13,13,5,,,,,,,,,,,,,,,,,,,,,52.193743750001886,52.193743750001886,52.79380837499775,space,1,0.40034662400285015,54.19373604199791,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
X,space,,,,,0,14,14,1,,,,,,,,,,,,,,,,,,,,,54.894292332995974,54.894292332995974,55.49374979199638,space,1,0.6551442080017296,56.894096457996056,,,,,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.59378837500117,58.06021583300026,space,1.9253989159988123,,,,,,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.554399249995186,59.554399249995186,59.86053304199595,None,0,,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.56058666700119,60.56058666700119,60.86050983300083,space,1,0.3655862080049701,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,2,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.56115945799684,61.56115945799684,61.860553082995466,space,1,0.24850987500394695,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.560389958001906,62.560389958001906,62.860344291999354,space,1,0.25209429200185696,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
,,X,space,,,,,,,0,4,4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.56060095800058,63.56060095800058,63.86045495799772,space,1,0.2455130420057685,,,,,,,,,,,,,,,,,samano2,001,2022-11-16_20h49.30.854,Trial go no go,2022.2.4,60.045093867216714,
