Grupo, Digit.forw, Digit.back, Stroop.corr, Stroop.rt, Go.forw, Go.back, Nogo.forw, Nogo.back, Gonogo.rt, Digit.forw, Digit.back, Stroop.corr, Stroop.rt, Go.forw, Go.back, Nogo.forw, Nogo.back, Gonogo.rt
Lectura,7.583,7.833,1.0,0.639,1.0,1.0,0.8,0.7,0.345,7.233,7.917,0.5,0.943,1.0,1.0,0.6,0.8,0.319
Lectura,8.7,6.567,1.0,0.944,1.0,1.0,1.0,0.9,0.378,6.95,6.45,1.0,0.973,0.975,0.975,0.9,0.8,0.361
Lectura,5.786,7.5,1.0,1.011,1.0,1.0,1.0,0.6,0.333,5.067,5.143,1.0,0.893,1.0,0.975,0.6,0.8,0.361
Lectura,6.167,5.667,1.0,1.062,1.0,0.975,0.9,0.6,0.33,5.393,4.5,0.979,1.13,1.0,0.975,0.6,0.7,0.367
Lectura,6.267,4.75,1.0,0.733,1.0,1.0,0.8,0.8,0.349,6.0,6.6,1.0,0.844,1.0,1.0,0.7,0.8,0.43
Control,8.667,6.733,0.979,0.595,1.0,1.0,0.6,0.3,0.318,8.9,8.1,0.938,0.631,0.975,0.975,0.5,0.2,0.289
Control,7.667,7.9,0.979,0.566,1.0,1.0,1.0,0.8,0.326,6.417,7.25,0.938,0.548,1.0,1.0,0.7,0.8,0.318
Control,4.75,4.5,1.0,0.878,0.975,0.95,0.5,0.4,0.342,6.167,5.833,0.896,0.811,1.0,1.0,0.7,0.3,0.32
Control,5.7,6.0,0.938,0.602,0.975,0.9,0.7,0.7,0.346,5.393,5.643,0.979,0.64,0.925,0.95,0.8,0.5,0.339
Control,6.643,5.067,0.979,0.743,1.0,1.0,1.0,0.6,0.332,4.917,5.783,1.0,0.829,0.95,0.975,0.8,0.7,0.39
Cuestionario,6.333,4.6,1.0,0.749,1.0,1.0,0.7,0.6,0.344,7.45,4.917,0.5,0.879,1.0,1.0,1.0,0.4,0.359
Cuestionario,6.4,4.75,1.0,0.791,1.0,1.0,0.9,0.7,0.321,6.833,6.75,0.958,0.864,1.0,1.0,0.8,0.8,0.352
Cuestionario,6.333,6.333,1.0,0.885,0.975,0.975,0.9,0.6,0.382,5.583,4.917,0.979,0.849,0.975,1.0,0.5,0.8,0.389
Cuestionario,5.5,6.567,1.0,0.86,0.975,0.975,0.9,0.5,0.389,6.167,5.533,1.0,0.952,1.0,1.0,0.8,0.5,0.356
Cuestionario,6.0,4.55,0.958,0.803,0.95,0.95,0.6,0.5,0.321,6.15,4.633,0.979,0.813,0.95,0.9,0.7,0.4,0.35
